Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;TrialGoal
MotorImagery;2021-01-29 11:14:46.4975;4295;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6557;24;NULL
InputWindowChange;2021-01-29 11:14:46.4985;4295;981741088527cb9eaa572c25c4b9fccf;anonymous;NULL;Closed;3;-5.4411;0.0000;Running;1.8808;10;0.0000;5;0.0385;8;0.0769;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 11:14:46.4995;4295;981741088527cb9eaa572c25c4b9fccf;anonymous;NULL;Closed;3;-5.4411;0.0000;Running;1.8808;9;0.0385;5;0.0385;8;0.0769;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;AccInput
Rest;2021-01-29 11:14:46.6341;4306;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6188;24;NULL
MotorImagery;2021-01-29 11:14:46.9592;4331;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6958;25;NULL
Rest;2021-01-29 11:14:47.2674;4355;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.5643;25;NULL
MotorImagery;2021-01-29 11:14:54.3826;4926;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6692;26;NULL
Rest;2021-01-29 11:14:54.7656;4956;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6383;26;NULL
MotorImagery;2021-01-29 11:14:54.9361;4969;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6726;27;NULL
Rest;2021-01-29 11:14:55.1563;4986;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.5848;27;NULL
InputWindowChange;2021-01-29 11:14:56.9482;5127;981741088527cb9eaa572c25c4b9fccf;anonymous;NULL;Open;4;-5.4411;0.0000;Running;1.2764;9;0.0385;5;0.0385;8;0.0769;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-29 11:14:56.9552;5128;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6621;28;NULL
Rest;2021-01-29 11:14:57.0769;5138;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6320;28;NULL
MotorImagery;2021-01-29 11:14:57.1996;5149;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6727;29;NULL
Rest;2021-01-29 11:14:57.9737;5210;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6488;29;NULL
MotorImagery;2021-01-29 11:14:58.1004;5221;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6576;30;NULL
Rest;2021-01-29 11:14:58.1263;5222;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6456;30;NULL
