Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;TrialGoal
InputWindowChange;2021-02-02 12:49:33.3012;7529;470070b48511d3509a2ef46059a6d190;anonymous;NULL;Closed;8;-15.6096;0.0000;Running;2.5119;12;0.4000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-02-02 12:49:33.3052;7529;470070b48511d3509a2ef46059a6d190;anonymous;NULL;Closed;8;-15.6096;0.0000;Running;2.5119;12;0.4000;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;AccInput
MotorImagery;2021-02-02 12:49:33.6294;7549;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7202;25;NULL
Rest;2021-02-02 12:49:34.4921;7610;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7141;25;NULL
MotorImagery;2021-02-02 12:49:43.7001;8237;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7223;26;NULL
Rest;2021-02-02 12:49:43.8607;8248;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7036;26;NULL
InputWindowChange;2021-02-02 12:49:44.1250;8267;470070b48511d3509a2ef46059a6d190;anonymous;NULL;Open;9;-15.6096;0.0000;Running;1.3482;12;0.4000;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-02-02 12:49:44.8644;8320;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7443;27;NULL
InputWindowChange;2021-02-02 12:49:44.8654;8320;470070b48511d3509a2ef46059a6d190;anonymous;NULL;Closed;9;-18.8423;0.0000;Running;1.3482;12;0.4000;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-02-02 12:49:44.8654;8320;470070b48511d3509a2ef46059a6d190;anonymous;NULL;Closed;9;-18.8423;0.0000;Running;1.3482;11;0.4500;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;AccInput
Rest;2021-02-02 12:49:45.4927;8362;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6677;27;NULL
MotorImagery;2021-02-02 12:49:52.6620;8837;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7394;28;NULL
